CO(GT);PT08.S1(CO);C6H6(GT);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);T;RH;AH
2.6;1360.0;11.9;166.0;1056.0;113.0;1692.0;13.6;48.9;0.7578
2.0;1292.0;9.4;103.0;1174.0;92.0;1559.0;13.3;47.7;0.7255
2.2;1402.0;9.0;131.0;1140.0;114.0;1555.0;11.9;54.0;0.7502
2.2;1376.0;9.2;172.0;1092.0;122.0;1584.0;11.0;60.0;0.7867
1.6;1272.0;6.5;131.0;1205.0;116.0;1490.0;11.2;59.6;0.7888
1.2;1197.0;4.7;89.0;1337.0;96.0;1393.0;11.2;59.2;0.7848
1.2;1185.0;3.6;62.0;1462.0;77.0;1333.0;11.3;56.8;0.7603
1.0;1136.0;3.3;62.0;1453.0;76.0;1333.0;10.7;60.0;0.7702
0.9;1094.0;2.3;45.0;1579.0;60.0;1276.0;10.7;59.7;0.7648
0.6;1010.0;1.7;180.0;1705.0;113.09125081011017;1235.0;10.3;60.2;0.7517
1.8;1011.0;1.3;21.0;1818.0;34.0;1197.0;10.1;60.5;0.7465
0.7;1066.0;1.1;16.0;1918.0;28.0;1182.0;11.0;56.2;0.7366
0.7;1052.0;1.6;34.0;1738.0;48.0;1221.0;10.5;58.1;0.7353
1.1;1144.0;3.2;98.0;1490.0;82.0;1339.0;10.2;59.6;0.7417
2.0;1333.0;8.0;174.0;1136.0;112.0;1517.0;10.8;57.4;0.7408
2.2;1351.0;9.5;129.0;1079.0;101.0;1583.0;10.5;60.6;0.7691
1.7;1233.0;6.3;112.0;1218.0;98.0;1446.0;10.8;58.4;0.7552
1.5;1179.0;5.0;95.0;1328.0;92.0;1362.0;10.5;57.9;0.7352
1.6;1236.0;5.2;104.0;1301.0;95.0;1401.0;9.5;66.8;0.7951
1.9;1286.0;7.3;146.0;1162.0;112.0;1537.0;8.3;76.4;0.8393
2.9;1371.0;11.5;207.0;983.0;128.0;1730.0;8.0;81.1;0.8736
2.2;1310.0;8.8;184.0;1082.0;126.0;1647.0;8.3;79.8;0.8778
2.2;1292.0;8.3;193.0;1103.0;131.0;1591.0;9.7;71.2;0.8569
2.9;1383.0;11.2;243.0;1008.0;135.0;1719.0;9.8;67.6;0.8185
4.8;1581.0;20.8;281.0;799.0;151.0;2083.0;10.3;64.2;0.8065
6.9;1776.0;27.4;383.0;702.0;172.0;2333.0;9.7;69.3;0.8319
6.1;1640.0;24.0;351.0;743.0;165.0;2191.0;9.6;67.8;0.8133
3.9;1313.0;12.8;240.0;957.0;136.0;1707.0;9.1;64.0;0.7419
1.5;965.0;4.7;94.0;1325.0;85.0;1333.0;8.2;63.4;0.6905
1.0;913.0;2.6;47.0;1565.0;53.0;1252.0;8.2;60.8;0.6657
1.7;1080.0;5.9;122.0;1254.0;97.0;1375.0;8.3;58.5;0.6438
1.9;1044.0;6.4;133.0;1247.0;110.0;1378.0;7.7;59.7;0.6308
1.4;988.0;4.1;82.0;1396.0;91.0;1304.0;7.1;61.8;0.6276
0.8;889.0;1.9;180.0;1680.0;113.09125081011017;1187.0;7.0;62.3;0.6261
1.8;831.0;1.1;21.0;1893.0;32.0;1134.0;6.1;65.9;0.6248
0.6;847.0;1.0;30.0;1895.0;44.0;1155.0;6.3;65.0;0.6233
0.8;927.0;1.8;56.0;1685.0;71.0;1223.0;6.8;62.9;0.6234
1.4;1091.0;4.4;109.0;1387.0;104.0;1361.0;6.4;65.1;0.6316
4.4;1587.0;17.9;307.0;897.0;141.0;1900.0;7.3;63.1;0.6499
1.8;1545.0;22.1;180.0;767.0;113.09125081011017;2058.0;9.2;56.2;0.6561
3.1;1350.0;14.0;187.0;912.0;122.0;1712.0;13.2;41.7;0.632
2.7;1263.0;11.6;216.0;969.0;143.0;1598.0;14.3;38.4;0.6243
2.1;1206.0;10.2;143.0;1035.0;113.0;1537.0;15.0;36.5;0.6195
2.5;1252.0;11.0;160.0;1008.0;116.0;1593.0;16.1;34.5;0.6262
2.7;1287.0;12.8;163.0;949.0;123.0;1660.0;16.3;35.7;0.656
2.9;1353.0;14.2;190.0;922.0;126.0;1740.0;15.8;37.0;0.661
2.8;1309.0;12.7;178.0;954.0;120.0;1657.0;15.9;37.2;0.6657
2.4;1274.0;11.7;150.0;1006.0;119.0;1610.0;16.9;34.3;0.6549
3.9;1510.0;19.3;206.0;812.0;149.0;1910.0;15.1;39.6;0.6766
3.7;1525.0;18.2;202.0;821.0;145.0;1847.0;14.4;43.4;0.7084
6.6;1843.0;32.6;340.0;624.0;170.0;2390.0;12.9;50.5;0.7478
4.4;1598.0;20.1;274.0;752.0;149.0;1941.0;12.1;53.3;0.7536
3.5;1484.0;14.3;253.0;839.0;139.0;1723.0;11.0;59.1;0.774
5.4;1677.0;21.8;300.0;741.0;134.0;2062.0;9.7;64.6;0.7771
2.7;1280.0;9.6;193.0;963.0;113.0;1544.0;9.5;64.1;0.7597
1.9;1196.0;7.4;139.0;1071.0;97.0;1463.0;9.1;63.9;0.7423
1.6;1184.0;5.4;83.0;1176.0;82.0;1365.0;8.8;63.9;0.7256
1.7;1172.0;5.4;180.0;1179.0;113.09125081011017;1380.0;7.8;67.5;0.7173
1.8;1147.0;6.2;109.0;1132.0;83.0;1412.0;7.0;71.1;0.7158
1.0;978.0;2.6;62.0;1420.0;65.0;1274.0;8.3;63.6;0.6982
1.2;1100.0;2.9;53.0;1406.0;60.0;1268.0;7.2;67.5;0.6887
1.5;1112.0;5.1;139.0;1228.0;77.0;1409.0;6.3;71.9;0.6932
2.7;1336.0;11.8;256.0;935.0;96.0;1678.0;6.5;71.6;0.6945
